City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,maragogi,-9.0122,-35.2225,28.41,70,100,4.69,BR,1680890367
1,hobart,-42.8794,147.3294,14.59,87,100,0.51,AU,1680890338
2,birjand,32.8663,59.2211,18.26,24,40,4.12,IR,1680890368
3,vaini,-21.2,-175.2,25.09,100,75,2.06,TO,1680890368
4,port-gentil,-0.7193,8.7815,28.98,79,20,5.14,GA,1680890369
5,narsaq,60.9167,-46.05,0.9,63,34,2.25,GL,1680890369
6,dikson,73.5069,80.5464,-31.5,100,87,4.25,RU,1680890370
7,atuona,-9.8,-139.0333,26.92,72,66,8.75,PF,1680890370
8,meadow lake,34.8014,-106.5436,16.02,18,46,2.41,US,1680890371
9,solnechnyy,50.7214,136.6319,-3.04,89,100,2.46,RU,1680890371
10,jacareacanga,-6.2222,-57.7528,31.12,59,98,1.81,BR,1680890372
11,ushuaia,-54.8,-68.3,9.79,70,40,6.69,AR,1680890139
12,avarua,-21.2078,-159.775,27.03,78,40,4.12,CK,1680890373
13,albany,42.6001,-73.9662,8.23,42,99,3.13,US,1680890373
14,busayra,30.7376,35.6078,19.75,24,40,1.38,JO,1680890374
15,chinhoyi,-17.3667,30.2,20.94,55,59,1.99,ZW,1680890374
16,bukachacha,52.9833,116.9167,-8.73,92,97,0.22,RU,1680890375
17,busselton,-33.65,115.3333,13.49,75,49,5.36,AU,1680890363
18,watsa,3.0372,29.5355,21.15,76,70,0.43,CD,1680890376
19,klaksvik,62.2266,-6.589,7.51,86,36,8.58,FO,1680890376
20,falmouth,50.1544,-5.0711,11.5,78,94,4.91,GB,1680890378
21,rikitea,-23.1203,-134.9692,25.05,67,43,5.15,PF,1680890378
22,khatanga,71.9667,102.5,-20.54,98,100,6.09,RU,1680890379
23,sierra vista,31.5545,-110.3037,20.46,14,0,5.66,US,1680890379
24,east london,-33.0153,27.9116,21.52,78,40,5.66,ZA,1680890380
25,gimli,50.6336,-96.9907,-7.99,86,47,4.12,CA,1680890381
26,del rio,29.3627,-100.8968,14.06,91,100,4.12,US,1680890382
27,bathsheba,13.2167,-59.5167,30.34,62,40,11.83,BB,1680890383
28,kavieng,-2.5744,150.7967,27.12,81,99,5.47,PG,1680890383
29,qaanaaq,77.484,-69.3632,-23.23,72,0,2.32,GL,1680890384
30,saint-philippe,-21.3585,55.7679,25.77,86,91,4.46,RE,1680890384
31,bengkulu,-3.8004,102.2655,24.63,86,93,1.72,ID,1680890369
32,goldsboro,35.3849,-77.9928,11.95,100,100,8.23,US,1680890226
33,leningradskiy,69.3833,178.4167,-26.74,99,100,2.78,RU,1680890385
34,mataura,-46.1927,168.8643,3.19,97,10,1.28,NZ,1680890386
35,synya,65.3718,58.0387,-3.23,95,100,3.97,RU,1680890386
36,tanete,-3.9443,119.7848,24.37,91,100,1.31,ID,1680890387
37,saskylakh,71.9167,114.0833,-19.73,98,100,4.89,RU,1680890387
38,khromtau,50.2503,58.4347,1.35,76,100,8.87,KZ,1680890388
39,avera,33.194,-82.5271,29.03,50,57,2.82,US,1680890389
40,nikolskoye,59.7035,30.7861,5.94,94,31,2.18,RU,1680890389
41,arraial do cabo,-22.9661,-42.0278,29.98,74,75,5.66,BR,1680890390
42,muros,42.7762,-9.0603,18.94,46,90,0.43,ES,1680890390
43,diban,35.0365,40.5167,23.83,23,51,7.34,SY,1680890390
44,kurilsk,45.2333,147.8833,2.95,99,100,2.29,RU,1680890391
45,gryfino,53.2524,14.4883,6.47,98,100,2.54,PL,1680890391
46,paragominas,-2.9667,-47.4833,26.69,87,97,1.37,BR,1680890392
47,arona,28.0996,-16.681,17.29,73,20,3.09,ES,1680890393
48,chokurdakh,70.6333,147.9167,-30.88,100,67,1.28,RU,1680890394
49,stromness,58.965,-3.296,8.98,86,5,3.58,GB,1680890394
50,katsuura,35.1333,140.3,18.63,92,99,10.81,JP,1680890102
51,bambous virieux,-20.3428,57.7575,26.14,83,75,3.09,MU,1680890396
52,matara,5.9485,80.5353,25.23,85,47,2.95,LK,1680890396
53,porto belo,-27.1578,-48.5531,21.0,93,100,3.86,BR,1680890397
54,ponta do sol,32.6667,-17.1,19.51,68,26,2.24,PT,1680890399
55,lebu,-37.6167,-73.65,15.67,59,99,7.6,CL,1680890399
56,iqaluit,63.7506,-68.5145,-19.15,65,20,10.29,CA,1680890400
57,zhanaozen,43.3,52.8,12.02,72,100,8.12,KZ,1680890400
58,cape town,-33.9258,18.4232,16.17,85,75,5.14,ZA,1680890394
59,paka,4.6374,103.4368,25.97,83,70,0.89,MY,1680890401
60,isangel,-19.55,169.2667,24.94,75,0,0.22,VU,1680890404
61,cabo san lucas,22.8909,-109.9124,28.43,33,0,1.79,MX,1680890405
62,pisco,-13.7,-76.2167,25.01,79,12,4.25,PE,1680890406
63,bitung,1.4451,125.1824,25.47,87,87,2.63,ID,1680890406
64,saint-georges,12.0564,-61.7485,26.51,72,99,8.24,GD,1680890409
65,dukat,62.55,155.55,-22.36,100,90,1.56,RU,1680890410
66,bardiyah,31.7561,25.0865,15.06,63,55,4.23,LY,1680890410
67,itamarandiba,-17.8572,-42.8589,26.01,54,85,2.5,BR,1680890411
68,barahona,18.2085,-71.1008,27.87,55,10,5.0,DO,1680890411
69,laguna,38.421,-121.4238,14.56,77,100,1.34,US,1680890412
70,port alfred,-33.5906,26.891,19.54,79,47,2.24,ZA,1680890412
71,punta arenas,-53.15,-70.9167,5.48,90,86,7.89,CL,1680890413
72,den helder,52.9599,4.7593,9.45,91,100,3.58,NL,1680890413
73,hilo,19.7297,-155.09,23.49,87,100,3.09,US,1680890414
74,holme,56.1138,10.1725,6.76,69,83,4.08,DK,1680890414
75,hofn,64.2539,-15.2082,7.18,84,100,8.87,IS,1680890416
76,seymchan,62.8833,152.4333,-20.82,100,96,0.56,RU,1680890416
77,kavaratti,10.5669,72.642,28.21,74,9,3.01,IN,1680890417
78,esperance,-33.8667,121.9,15.83,69,95,5.43,AU,1680890410
79,dingle,10.9995,122.6711,22.92,85,40,2.03,PH,1680890418
80,tasiilaq,65.6145,-37.6368,0.09,91,100,15.13,GL,1680890418
81,kodiak,57.79,-152.4072,-2.17,75,100,2.05,US,1680890419
82,bluff,-46.6,168.3333,7.23,85,26,3.26,NZ,1680890419
83,charters towers,-20.1,146.2667,24.6,81,82,3.31,AU,1680890420
